"","Title","freq"
"1","다시 사랑한다 말할까%by%김동률",331
"2","그런 사람 또 없습니다%by%이승철",325
"3","벌써 일년%by%브라운 아이즈(Brown Eyes)",319
"4","소주 한 잔%by%임창정",294
"5","여전히 아름다운지 (feat. 김연우)%by%토이(Toy)",287
"6","거리에서%by%성시경",280
"7","바람이 분다%by%이소라",280
"8","사랑.. 그 놈%by%바비 킴(Bobby Kim)",277
"9","너를 위해%by%임재범",274
"10","비와 당신 (영화 '라디오 스타 '삽입곡)%by%럼블 피쉬(Rumble Fish)",267
"11","죽일 놈 (Guilty)%by%다이나믹 듀오(Dynamic Duo)",267
"12","보고 싶다%by%김범수",266
"13","Never Ending Story%by%부활",262
"14","좋은 날%by%아이유(IU)",254
"15","Officially Missing You%by%긱스(Geeks)",245
"16","사랑합니다...%by%팀(Tim)",244
"17","낙원 (feat. 이재훈)%by%싸이(Psy)",243
"18","끝사랑%by%김범수",240
"19","기억의 습작%by%전람회",238
"20","널 생각해%by%원 모어 찬스(one more chance)",238
"21","정말 사랑했을까%by%브라운 아이드 소울(Brown Eyed Soul)",232
"22","헤어지지 못하는 여자, 떠나가지 못하는 남자 (feat. 정인)%by%리쌍(Leessang)",230
"23","잘못된 만남%by%김건모",228
"24","출발%by%김동률",228
"25","귀로%by%나얼(Na-Ul)",226
"26","우산 (feat. 윤하)%by%에픽 하이(Epik High)",226
"27","가끔 미치도록 네가 안고 싶어질 때가 있어%by%가을방학",222
"28","고백%by%델리 스파이스(Deli Spice)",218
"29","사랑한다는 흔한 말%by%김연우",217
"30","다행이다%by%이적",216
"31","So Cool (쏘쿨)%by%씨스타(Sistar)",215
"32","기억을 걷는 시간%by%넬(Nell)",214
"33","잔소리 (With 2AM 슬옹)%by%아이유(IU)",213
"34","너랑 나%by%아이유(IU)",211
"35","사랑은 은하수 다방에서%by%10cm(십센치)",207
"36","안녕이라고 말하지마%by%다비치",205
"37","비가 오는 날엔%by%비스트(Beast)",204
"38","사랑비%by%김태우",201
"39","서쪽 하늘%by%울랄라세션(Ulala Session)",200
"40","그대와 나, 설레임 (feat. 소울맨)%by%어쿠스틱 콜라보(Acoustic Collabo)",199
"41","사랑이 다른 사랑으로 잊혀지네%by%하림",198
"42","그리워 그리워%by%노을",196
"43","두사람%by%성시경",196
"44","벚꽃 엔딩%by%버스커 버스커(Busker Busker)",196
"45","술 한잔 해요%by%지아(Zia)",194
"46","넌 감동이었어%by%성시경",192
"47","좋아보여 (feat. 검정치마)%by%버벌진트(Verbal Jint)",191
"48","그땐 그땐 그땐%by%슈프림팀(Supreme Team)",190
"49","아름다운 이별%by%김건모",190
"50","체념%by%빅마마(Big Mama)",190
"51","I Love You%by%포지션(Position)",189
"52","Go Away%by%투애니원(2NE1)",188
"53","나였으면%by%나윤권",188
"54","좋을텐데%by%성시경",186
"55","그날에 우리%by%어반 자카파(Urban Zakapa)",183
"56","여수 밤바다%by%버스커 버스커(Busker Busker)",182
"57","Aqua Man%by%빈지노(Beenzino)",181
"58","사진을 보다가%by%바이브(Vibe)",177
"59","너에게 난, 나에게 넌%by%자전거 탄 풍경",176
"60","꿈에%by%박정현",175
"61","애상%by%쿨(COOL)",175
"62","365일%by%알리(Ali)",174
"63","Loving U (러빙유)%by%씨스타(Sistar)",174
"64","사랑할수록%by%부활",174
"65","행복한 나를%by%에코(ECO)",174
"66","자니 (feat. Dynamic Duo)%by%프라이머리(Primary)",173
"67","중독된 사랑%by%조장혁",173
"68","해변의 여인%by%쿨(COOL)",173
"69","생각이 나%by%부활",169
"70","하늘을 달리다%by%이적",169
"71","바람기억%by%나얼(Na-Ul)",168
"72","FANTASTIC BABY%by%BIGBANG",165
"73","사랑은 언제나 목마르다%by%유미",164
"74","그남자 그여자 (feat. 장혜진)%by%바이브(Vibe)",163
"75","감기%by%이기찬",162
"76","어땠을까 (feat. 박정현)%by%싸이(Psy)",162
"77","수고했어, 오늘도%by%옥상달빛",161
"78","청혼%by%노을",161
"79","죽을 만큼 아파서 (feat. 멜로우)%by%MC 몽",158
"80","그댄 행복에 살텐데%by%리즈(Leeds)",157
"81","강남스타일%by%싸이(Psy)",156
"82","나혼자 (Alone)%by%씨스타(Sistar)",156
"83","미워도 다시 한번 (Original ver.)%by%바이브(Vibe)",156
"84","With Coffee...%by%브라운 아이즈(Brown Eyes)",155
"85","사랑은 봄비처럼... 이별은 겨울비처럼%by%임현정",155
"86","이별택시%by%김연우",155
"87","Boogie On & On%by%빈지노(Beenzino)",154
"88","가슴 시린 이야기 (feat. 용준형 Of Beast)%by%휘성",154
"89","보여줄게%by%에일리(Ailee)",154
"90","저녁 하늘%by%에일리(Ailee)",154
"91","사랑 안해%by%백지영",153
"92","I'm In Love (Piano RMX)%by%라디(Ra.D)",152
"93","비오는 압구정%by%브라운 아이즈(Brown Eyes)",151
"94","인연 (동녘바람)%by%이선희",151
"95","좋은 사람 (feat. 김형중)%by%토이(Toy)",151
"96","미워요%by%정인",150
"97","내가 제일 잘 나가%by%투애니원(2NE1)",148
"98","친구라도 될 걸 그랬어%by%거미",148
"99","편지%by%김광진",147
"100","Roly-Poly%by%티아라(T-ara)",146
"101","뜨거운 안녕 (feat. 성시경)%by%싸이(Psy)",145
"102","봄날, 벚꽃 그리고 너%by%에피톤 프로젝트(Epitone Project)",145
"103","With Me%by%휘성",144
"104","천년의 사랑%by%박완규",144
"105","촛불 하나%by%지오디(god)",144
"106","Love (feat. Bumkey, Paloalto)%by%프라이머리(Primary)",143
"107","Trouble Maker%by%트러블메이커(Troublemaker)",143
"108","술이야%by%바이브(Vibe)",143
"109","I Believe (엽기적인 그녀 O.S.T)%by%신승훈",142
"110","가로수 그늘 아래 서면%by%장재인",142
"111","내 눈물모아%by%서지원",142
"112","나만 몰랐던 이야기%by%아이유(IU)",141
"113","가질 수 없는 너%by%뱅크(Bank)",140
"114","결혼까지 생각했어%by%휘성",140
"115","만약에 말야 (전우성 Solo)%by%노을",140
"116","미친거니%by%바이브(Vibe)",140
