Artist,cnt
성시경,1239
아이유(IU),1011
김동률,1000
어반 자카파(Urban Zakapa),887
김범수,838
브라운 아이즈(Brown Eyes),838
브라운 아이드 소울(Brown Eyed Soul),800
싸이(Psy),779
바이브(Vibe),775
박효신,752
김건모,727
토이(Toy),717
쿨(COOL),709
휘성,704
10cm(십센치),703
리쌍(Leessang),683
포맨,674
이적,663
김연우,663
윤종신,662
투애니원(2NE1),661
에피톤 프로젝트(Epitone Project),656
린(LYn),647
박정현,646
프라이머리(Primary),644
버스커 버스커(Busker Busker),641
다이나믹 듀오(Dynamic Duo),637
임창정,626
노을,613
SG워너비,607
나얼(Na-Ul),601
씨스타(Sistar),588
BIGBANG,582
럼블 피쉬(Rumble Fish),573
윤하(Younha/ユンナ),570
케이윌(K.Will),559
이승철,554
부활,553
이소라,539
제이레빗(J Rabbit),521
클래지콰이(Clazziquai),518
버벌진트(Verbal Jint),511
엠씨 더 맥스(M.C the Max),503
거미,499
가을방학,498
스탠딩 에그(Standing Egg),493
임재범,492
나윤권,485
이승기,484
넬(Nell),474
소녀시대,471
노리플라이(no reply),467
에픽 하이(Epik High),460
MC 몽,443
G-DRAGON,435
서영은,434
다비치,432
라디(Ra.D),424
허각,424
지아(Zia),423
비스트(Beast),412
조성모,408
어쿠스틱 콜라보(Acoustic Collabo),406
지오디(god),404
이수영,402
페퍼톤스(Peppertones),396
슈프림팀(Supreme Team),392
전람회,387
티아라(T-ara),385
별,377
원 모어 찬스(one more chance),373
요조(Yozoh),371
빈지노(Beenzino),370
박지윤,370
이승환,369
박혜경,365
신승훈,364
백지영,363
화요비,361
러브홀릭(Loveholic),360
데이브레이크(daybreak),351
재주소년,349
애즈 원(As One),348
알리(Ali),347
바비 킴(Bobby Kim),346
플라이 투 더 스카이(Fly To The Sky),344
이문세,344
터보(Turbo),344
스윗소로우(SWEET SORROW),342
브로콜리너마저,342
옥상달빛,340
커피소년,336
공일오비(015B),335
루시드 폴(Lucid Fall),335
t윤미래,328
버즈(Buzz),328
빅마마(Big Mama),328
테이(Tei),327
델리 스파이스(Deli Spice),327
이기찬,326
윤건,325
하림,325
긱스(Geeks),325
팀(Tim),323
김태우,317
김광석,315
브라운 아이드 걸스,315
2AM,313
짙은(Zitten),313
프리 스타일(Free Style),311
포지션(Position),301
장혜진,300
유희열,300
양파,298
코요태,297
루싸이트 토끼,295
제이(J.ae),292
이지형,286
김윤아,281
정인,281
캐스커(Casker),279
임정희,279
바닐라 어쿠스틱(Vanilla Acoustic),274
조규찬,270
이선희,268
에일리(Ailee),268
왁스(Wax),267
정준일 [메이트],266
김종국,261
보아(BoA),260
리즈(Leeds),257
인피니트(Infinite),257
시크릿(Secret),255
카라(Kara),254
몽니(Monni),251
울랄라세션(Ulala Session),251
한희정,247
박진영,247
지나(G.NA),246
박기영,244
윈터플레이(Winterplay),244
조장혁,242
유재하,241
타루(Taru),239
장재인,238
김현철,237
자전거 탄 풍경,236
자우림(Jaurim),232
정재욱,232
웅산,231
김현정,230
윤도현,230
엄정화,229
Lucia(심규선),228
허밍 어반 스테레오(Humming Urban Stereo),226
언니네 이발관,225
라이너스의 담요(Linus' Blanket),224
김진표(JP),223
유엔(UN),222
메이트(Mate),220
정엽,220
존 박(John Park),218
마이티 마우스(Mighty Mouth),218
가인 [브라운아이드걸스],217
원더걸스(Wonder Girls),214
동방신기(TVXQ!),213
40(포티),213
걸스데이(Girl's Day),210
윤상,208
이은미,207
해이(Hey),202
베란다 프로젝트(Verandah Project),201
김광진,200
에이핑크(Apink),199
하동균,197
박새별,196
알렉스(Alex) [클래지콰이],195
에프엑스(f(x)),195
서지원,194
두번째 달,191
유리상자,191
더 원(The One),190
로이킴,189
DJ DOC,188
김조한,188
보보(Bobo),187
애프터 스쿨(After School) ,187
장나라,187
랄라스윗(lalasweet),186
정키(Jung Key),185
오렌지캬라멜(Orange Caramel),185
스웨덴세탁소,176
에코(ECO),174
씨엔블루(CNBLUE),173
나르샤 [브라운아이드걸스],171
임현정,171
현아 [포미닛],171
박선주,171
아이비(IVY),170
뜨거운 감자(Hot Potato),170
유미,169
소란(Soran),168
윤한(Yoonhan),168
보드카 레인(Vodka Rain),167
김형중,166
악동뮤지션(AKMU),165
버블 시스터즈(Bubble Sisters),165
에코 브릿지(Eco bridge),163
영턱스클럽(YTC),163
미쓰 에이(miss A),162
패닉(Panic),161
박완규,160
뱅크(Bank),158
먼데이 키즈(Monday Kiz),157
레인보우(Rainbow),155
써니힐(Sunny Hill),154
포미닛(4minute),154
이바디(Ibadi),153
더 클래식(The Classic),153
샵(S#arp),151
BMK,151
양요섭 [비스트],151
솔리드(Solid),151
S.E.S.,151
소찬휘,150
블락비(Block B),149
지누션(Jinusean),147
쥬얼리(Jewelry),146
검정치마,145
브이원 (V.One),145
트러블메이커(Troublemaker),144
룰라(Roo'Ra),144
MC 스나이퍼(MC Sniper),142
Zion.T,141
핑클(Fin.K.L),141
디제이 아키(DJ AKI),141
이정현,141
배치기,140
디어 클라우드(Dear Cloud),140
이한철,140
신용재 [4men],139
거북이,136
더 넛츠(The Nuts),135
토마스 쿡(Thomas Cook),133
롤러코스터(Rollercoaster),132
김현식,132
신화,131
장윤주,130
젝스키스(Sechs Kies),129
정기고(Junggigo),129
박미경,129
마로니에(Maronnier),128
야다(Yada),127
나비(Navi),126
이효리,124
동경소녀,123
달콤한 소금,123
씨야(SeeYa),122
일기예보,122
투엘슨(2LSON),120
JUNIEL(주니엘),120
유피(UP),119
2PM,119
조원선,118
좋아서 하는 밴드,118
소규모 아카시아 밴드,116
박명수,115
비(Rain),114
이루(Eru),113
박재범(Jay Park),113
이상은(Lee Tzsche),112
동물원,112
포스트맨(Postmen),112
김민종,111
서연,111
에이트(8Eight),110
여행스케치,110
주영(JooYoung),110
YB,109
라즈베리필드,108
김장훈,108
한경일,107
김현성,107
줄라이(July) [뉴에이지],107
젠틀 레인(Gentle Rain),107
크레용팝(Crayon Pop),106
아소토 유니온(Asoto Union),106
클론(Clon),106
원타임(1TYM),105
자자(Zaza),105
더 레이(The Ray),105
태양,105
EXID(이엑스아이디),104
김지수,104
이하이,103
아키버드(Aquibird),103
푸딩(Pudding),103
조관우,102
이소은,102
우쿨렐레 피크닉(Ukulele Picnic),102
디바(Diva),101
마이 앤트 메리(My Aunt Mary),101
크루셜스타(Crucial Star),101
도나웨일(Donawhale),100
인디고(Indigo),100
스윙스(Swings),99
슈가볼(Sugarbowl),98
소울스타(Soulstar),98
강타,97
써드코스트(3rd Coast),97
모리(Morrie),97
이아립,97
플라워(Flower),97
조정현,95
김경호,95
이석훈 [SG워너비],95
허민,95
하우스 룰즈(House Rulez),94
스프링롤(Springloll),94
산이(San E),94
주(Joo),93
안녕 바다,93
이재훈 ,92
헤르쯔 아날로그(Herz Analog),92
레이디스 코드(LADIES' CODE),92
처진 달팽이(유재석 & 이적),91
영준 [Brown Eyed Soul],91
엠투엠(M To M),91
고유진(플라워),90
참깨와 솜사탕,89
슈퍼주니어(Super Junior),89
디어(d.ear),89
브이오에스(V.O.S.),88
매드 클라운(Mad Clown),88
정재형,88
신해철,88
디셈버(December),87
