Title,Artist,cnt
그런 사람 또 없습니다,이승철,323
벌써 일년,브라운 아이즈(Brown Eyes),316
다시 사랑한다 말할까,김동률,316
여전히 아름다운지 (feat. 김연우),토이(Toy),287
소주 한 잔,임창정,281
너를 위해,임재범,272
바람이 분다,이소라,269
거리에서,성시경,266
사랑.. 그 놈,바비 킴(Bobby Kim),263
보고 싶다,김범수,256
Officially Missing You,긱스(Geeks),255
비와 당신 (영화 '라디오 스타 '삽입곡),럼블 피쉬(Rumble Fish),254
죽일 놈 (Guilty),다이나믹 듀오(Dynamic Duo),253
Never Ending Story,부활,248
좋은 날,아이유(IU),241
끝사랑,김범수,240
기억의 습작,전람회,238
낙원 (feat. 이재훈),싸이(Psy),236
잘못된 만남,김건모,233
널 생각해,원 모어 찬스(one more chance),233
사랑합니다...,팀(Tim),230
출발,김동률,225
귀로,나얼(Na-Ul),223
So Cool (쏘쿨),씨스타(Sistar),222
사랑은 은하수 다방에서,10cm(십센치),219
정말 사랑했을까,브라운 아이드 소울(Brown Eyed Soul),218
고백,델리 스파이스(Deli Spice),218
가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학,217
"헤어지지 못하는 여자, 떠나가지 못하는 남자 (feat. 정인)",리쌍(Leessang),216
다행이다,이적,214
우산 (feat. 윤하),에픽 하이(Epik High),214
너랑 나,아이유(IU),211
사랑한다는 흔한 말,김연우,206
안녕이라고 말하지마,다비치,205
"그대와 나, 설레임 (feat. 소울맨)",어쿠스틱 콜라보(Acoustic Collabo),202
비가 오는 날엔,비스트(Beast),202
서쪽 하늘,울랄라세션(Ulala Session),200
기억을 걷는 시간,넬(Nell),200
잔소리 (With 2AM 슬옹),아이유(IU),199
두사람,성시경,196
벚꽃 엔딩,버스커 버스커(Busker Busker),196
그리워 그리워,노을,196
나였으면,나윤권,195
사랑이 다른 사랑으로 잊혀지네,하림,194
좋아보여 (feat. 검정치마),버벌진트(Verbal Jint),191
사랑비,김태우,189
아름다운 이별,김건모,188
좋을텐데,성시경,186
술 한잔 해요,지아(Zia),185
Loving U (러빙유),씨스타(Sistar),184
그날에 우리,어반 자카파(Urban Zakapa),183
여수 밤바다,버스커 버스커(Busker Busker),182
그땐 그땐 그땐,슈프림팀(Supreme Team),179
넌 감동이었어,성시경,178
체념,빅마마(Big Mama),176
애상,쿨(COOL),175
Aqua Man,빈지노(Beenzino),175
I Love You,포지션(Position),175
Go Away,투애니원(2NE1),174
중독된 사랑,조장혁,173
자니 (feat. Dynamic Duo),프라이머리(Primary),173
"너에게 난, 나에게 넌",자전거 탄 풍경,172
FANTASTIC BABY,BIGBANG,169
행복한 나를,에코(ECO),169
강남스타일,싸이(Psy),168
저녁 하늘,에일리(Ailee),168
바람기억,나얼(Na-Ul),168
With Coffee...,브라운 아이즈(Brown Eyes),167
꿈에,박정현,164
사진을 보다가,바이브(Vibe),163
어땠을까 (feat. 박정현),싸이(Psy),162
"수고했어, 오늘도",옥상달빛,161
사랑할수록,부활,160
365일,알리(Ali),160
생각이 나,부활,160
뜨거운 안녕 (feat. 성시경),싸이(Psy),159
사랑은 언제나 목마르다,유미,158
하늘을 달리다,이적,157
나혼자 (Alone),씨스타(Sistar),156
보여줄게,에일리(Ailee),154
가슴 시린 이야기 (feat. 용준형 Of Beast),휘성,154
Boogie On & On,빈지노(Beenzino),154
그남자 그여자 (feat. 장혜진),바이브(Vibe),153
인연 (동녘바람),이선희,152
그댄 행복에 살텐데,리즈(Leeds),151
감기,이기찬,151
좋은 사람 (feat. 김형중),토이(Toy),151
사랑은 봄비처럼... 이별은 겨울비처럼,임현정,151
미워요,정인,150
이별택시,김연우,150
I'm In Love (Piano RMX),라디(Ra.D),148
내가 제일 잘 나가,투애니원(2NE1),147
사랑 안해,백지영,147
청혼,노을,147
비오는 압구정,브라운 아이즈(Brown Eyes),147
친구라도 될 걸 그랬어,거미,147
Roly-Poly,티아라(T-ara),146
내 눈물모아,서지원,146
결혼까지 생각했어,휘성,146
"봄날, 벚꽃 그리고 너",에피톤 프로젝트(Epitone Project),145
죽을 만큼 아파서 (feat. 멜로우),MC 몽,144
해변의 여인,쿨(COOL),144
Trouble Maker,트러블메이커(Troublemaker),143
"Love (feat. Bumkey, Paloalto)",프라이머리(Primary),143
붉은 노을,BIGBANG,143
I Believe (엽기적인 그녀 O.S.T),신승훈,142
나만 몰랐던 이야기,아이유(IU),142
가로수 그늘 아래 서면,장재인,142
미워도 다시 한번 (Original ver.),바이브(Vibe),142
편지,김광진,141
미친거니,바이브(Vibe),140
만약에 말야 (전우성 Solo),노을,140
"씨스루 (feat. Zion.T, 개코 Of 다이나믹듀오)",프라이머리(Primary),140
차마...,성시경,139
To Heaven (천국으로 보낸 편지),조성모,137
추억은 사랑을 닮아,박효신,137
그런가봐요...,브이원 (V.One),136
커피를 마시고 (Main ver.),어반 자카파(Urban Zakapa),136
Nike Shoes (feat. Dynamic Duo),빈지노(Beenzino),136
그녀를 사랑해줘요,하동균,135
그녀와의 이별,김현정,134
With Me,휘성,133
Rain Drop,아이유(IU),133
술이야,바이브(Vibe),132
늦은 후회,보보(Bobo),131
연애 (feat. Hanyi),프리 스타일(Free Style),131
남과 여 (feat. 김범수),박선주,130
사랑했나봐,윤도현,130
천년의 사랑,박완규,130
촛불 하나,지오디(god),130
고백,뜨거운 감자(Hot Potato),129
홀로 (feat. 김나영),정키(Jung Key),128
"? (물음표) (feat. 최자 Of 다이나믹듀오, Zion.T)",프라이머리(Primary),128
UGLY,투애니원(2NE1),127
Beautiful Day,어반 자카파(Urban Zakapa),127
너에게 쓰는 편지,MC 몽,127
가질 수 없는 너,뱅크(Bank),127
회상 (December),터보(Turbo),126
넌 이별 난 아직 (With 한소현 Of 3rd Coast),스탠딩 에그(Standing Egg),126
다시 만난 날,휘성,126
어떻게 사랑이 그래요,이승환,125
칵테일 사랑,마로니에(Maronnier),125
사랑하기 때문에,유재하,125
아이처럼,김동률,125
화장을 고치고,왁스(Wax),124
순정(純情) (London Boys의 I'm Gonna Give My Heart 전주 인용),코요태,124
넋,40(포티),124
라라라,SG워너비,122
바보,박효신,121
MONSTER,BIGBANG,121
가지마 가지마,브라운 아이즈(Brown Eyes),121
Hello,허각,120
I Need You,허각,120
사랑의 時,엠씨 더 맥스(M.C the Max),119
High High,G-DRAGON,119
내게 오는 길 (Bonus Track),성시경,119
이미 슬픈 사랑,야다(Yada),118
한여름날의 꿈 (duet with 옥주현),SG워너비,118
못해 (feat. 美),포맨,118
꽃송이가,버스커 버스커(Busker Busker),118
잘가요,정재욱,117
슬퍼지려 하기 전에,쿨(COOL),116
눈물 (feat. 유진 Of 더 씨야),리쌍(Leessang),116
챔피언,싸이(Psy),116
"씨스루 (feat. 개코, Zion.T)",프라이머리(Primary),115
Tears,소찬휘,115
내가 너의 곁에 잠시 살았다는 걸,김연우,115
I'm In Love,나르샤 [브라운아이드걸스],114
꽃피는 봄이오면,BMK,114
Y (Please Tell Me Why),프리 스타일(Free Style),113
되돌리다,이승기,113
눈물샤워 (feat .에일리),배치기,112
Bubble Pop!,현아 [포미닛],112
Love Blossom (러브블러썸),케이윌(K.Will),112
Missing You (feat. 김윤아 Of 자우림),G-DRAGON,111
Fiction,비스트(Beast),111
내꺼하자,인피니트(Infinite),111
좋은사람,박효신,110
봄을 그리다,어반 자카파(Urban Zakapa),110
눈물이 안났어,임정희,110
Second First Date (feat. Ritha K) (Bonus Track From Jazz Set),디제이 아키(DJ AKI),110
빗소리,윤하(Younha/ユンナ),109
파도,유엔(UN),109
달아요,박정현,109
아로하,쿨(COOL),108
바래진 기억에,박지윤,108
Love Day,양요섭 [비스트],108
다시 와주라,바이브(Vibe),108
오래된 노래,김동률,107
날 닮은 너,임창정,107
공원에서,유희열,107
어제처럼,제이(J.ae),107
사랑은 맛있다 ♡,휘성,106
Hot Summer,에프엑스(f(x)),106
시간이 흐른 뒤 (As Time Goes By),t윤미래,106
좋아 (JOAH),박재범(Jay Park),106
좋아해,요조(Yozoh),106
버스 안에서,자자(Zaza),105
I Don't Care,투애니원(2NE1),105
Baby Baby,포맨,105
...사랑했잖아...,린(LYn),105
정,영턱스클럽(YTC),105
정말로 사랑한다면,버스커 버스커(Busker Busker),105
원하고 원망하죠,애즈 원(As One),104
취중진담(醉中眞談),전람회,104
Lonely,투애니원(2NE1),104
사랑에 빠지고 싶다,김조한,104
러브 레시피,거미,104
Couple Song (feat. Kelley),라디(Ra.D),104
Missing You,플라이 투 더 스카이(Fly To The Sky),104
하루 끝,아이유(IU),103
니가 참 좋아,쥬얼리(Jewelry),103
나 돌아가,임정희,103
공원여행 (Vocal By 현민),페퍼톤스(Peppertones),102
"I Love U, Oh Thank U (feat. 김태우)",MC 몽,102
거기서거기 (Without You),다이나믹 듀오(Dynamic Duo),102
제주도의 푸른 밤,성시경,102
라라라,이수영,102
아시나요,조성모,102
안아줘,정준일 [메이트],101
BK Love,MC 스나이퍼(MC Sniper),101
한사람을 위한 마음,럼블 피쉬(Rumble Fish),101
점점,브라운 아이즈(Brown Eyes),101
오아시스 (feat. 이재훈),브라운 아이드 걸스,101
바람이 불어오는 곳,제이레빗(J Rabbit),101
여름아! 부탁해,인디고(Indigo),100
"TV를 껐네... (feat. t윤미래, 권정열 Of 10cm)",리쌍(Leessang),100
비행기,거북이,100
