"","Title","freq"
"1","그런 사람 또 없습니다%by%이승철",339
"2","다시 사랑한다 말할까%by%김동률",319
"3","벌써 일년%by%브라운 아이즈(Brown Eyes)",316
"4","여전히 아름다운지 (feat. 김연우)%by%토이(Toy)",287
"5","소주 한 잔%by%임창정",281
"6","너를 위해%by%임재범",272
"7","바람이 분다%by%이소라",269
"8","거리에서%by%성시경",266
"9","사랑.. 그 놈%by%바비 킴(Bobby Kim)",263
"10","보고 싶다%by%김범수",256
"11","Officially Missing You%by%긱스(Geeks)",255
"12","비와 당신 (영화 '라디오 스타 '삽입곡)%by%럼블 피쉬(Rumble Fish)",254
"13","죽일 놈 (Guilty)%by%다이나믹 듀오(Dynamic Duo)",253
"14","Never Ending Story%by%부활",248
"15","좋은 날%by%아이유(IU)",241
"16","끝사랑%by%김범수",240
"17","기억의 습작%by%전람회",238
"18","낙원 (feat. 이재훈)%by%싸이(Psy)",236
"19","널 생각해%by%원 모어 찬스(one more chance)",235
"20","잘못된 만남%by%김건모",233
"21","사랑합니다...%by%팀(Tim)",230
"22","출발%by%김동률",225
"23","귀로%by%나얼(Na-Ul)",223
"24","So Cool (쏘쿨)%by%씨스타(Sistar)",222
"25","사랑은 은하수 다방에서%by%10cm(십센치)",219
"26","고백%by%델리 스파이스(Deli Spice)",218
"27","정말 사랑했을까%by%브라운 아이드 소울(Brown Eyed Soul)",218
"28","가끔 미치도록 네가 안고 싶어질 때가 있어%by%가을방학",217
"29","헤어지지 못하는 여자, 떠나가지 못하는 남자 (feat. 정인)%by%리쌍(Leessang)",216
"30","우산 (feat. 윤하)%by%에픽 하이(Epik High)",215
"31","다행이다%by%이적",214
"32","너랑 나%by%아이유(IU)",211
"33","사랑한다는 흔한 말%by%김연우",206
"34","안녕이라고 말하지마%by%다비치",205
"35","비가 오는 날엔%by%비스트(Beast)",204
"36","그대와 나, 설레임 (feat. 소울맨)%by%어쿠스틱 콜라보(Acoustic Collabo)",202
"37","기억을 걷는 시간%by%넬(Nell)",200
"38","서쪽 하늘%by%울랄라세션(Ulala Session)",200
"39","잔소리 (With 2AM 슬옹)%by%아이유(IU)",199
"40","그리워 그리워%by%노을",196
"41","두사람%by%성시경",196
"42","벚꽃 엔딩%by%버스커 버스커(Busker Busker)",196
"43","나였으면%by%나윤권",195
"44","사랑이 다른 사랑으로 잊혀지네%by%하림",194
"45","좋아보여 (feat. 검정치마)%by%버벌진트(Verbal Jint)",191
"46","사랑비%by%김태우",189
"47","술 한잔 해요%by%지아(Zia)",188
"48","아름다운 이별%by%김건모",188
"49","좋을텐데%by%성시경",186
"50","Loving U (러빙유)%by%씨스타(Sistar)",184
"51","그날에 우리%by%어반 자카파(Urban Zakapa)",183
"52","여수 밤바다%by%버스커 버스커(Busker Busker)",182
"53","Aqua Man%by%빈지노(Beenzino)",181
"54","그땐 그땐 그땐%by%슈프림팀(Supreme Team)",179
"55","넌 감동이었어%by%성시경",178
"56","체념%by%빅마마(Big Mama)",176
"57","I Love You%by%포지션(Position)",175
"58","애상%by%쿨(COOL)",175
"59","Go Away%by%투애니원(2NE1)",174
"60","자니 (feat. Dynamic Duo)%by%프라이머리(Primary)",173
"61","중독된 사랑%by%조장혁",173
"62","해변의 여인%by%쿨(COOL)",173
"63","너에게 난, 나에게 넌%by%자전거 탄 풍경",172
"64","FANTASTIC BABY%by%BIGBANG",169
"65","행복한 나를%by%에코(ECO)",169
"66","강남스타일%by%싸이(Psy)",168
"67","바람기억%by%나얼(Na-Ul)",168
"68","저녁 하늘%by%에일리(Ailee)",168
"69","With Coffee...%by%브라운 아이즈(Brown Eyes)",167
"70","꿈에%by%박정현",164
"71","사진을 보다가%by%바이브(Vibe)",163
"72","어땠을까 (feat. 박정현)%by%싸이(Psy)",162
"73","수고했어, 오늘도%by%옥상달빛",161
"74","365일%by%알리(Ali)",160
"75","사랑할수록%by%부활",160
"76","생각이 나%by%부활",160
"77","뜨거운 안녕 (feat. 성시경)%by%싸이(Psy)",159
"78","사랑은 언제나 목마르다%by%유미",158
"79","하늘을 달리다%by%이적",157
"80","나혼자 (Alone)%by%씨스타(Sistar)",156
"81","Boogie On & On%by%빈지노(Beenzino)",154
"82","가슴 시린 이야기 (feat. 용준형 Of Beast)%by%휘성",154
"83","보여줄게%by%에일리(Ailee)",154
"84","그남자 그여자 (feat. 장혜진)%by%바이브(Vibe)",153
"85","인연 (동녘바람)%by%이선희",152
"86","감기%by%이기찬",151
"87","그댄 행복에 살텐데%by%리즈(Leeds)",151
"88","비오는 압구정%by%브라운 아이즈(Brown Eyes)",151
"89","사랑은 봄비처럼... 이별은 겨울비처럼%by%임현정",151
"90","좋은 사람 (feat. 김형중)%by%토이(Toy)",151
"91","미워요%by%정인",150
"92","이별택시%by%김연우",150
"93","I'm In Love (Piano RMX)%by%라디(Ra.D)",148
"94","내가 제일 잘 나가%by%투애니원(2NE1)",148
"95","사랑 안해%by%백지영",147
"96","청혼%by%노을",147
"97","친구라도 될 걸 그랬어%by%거미",147
"98","Roly-Poly%by%티아라(T-ara)",146
"99","결혼까지 생각했어%by%휘성",146
"100","내 눈물모아%by%서지원",146
"101","봄날, 벚꽃 그리고 너%by%에피톤 프로젝트(Epitone Project)",145
"102","죽을 만큼 아파서 (feat. 멜로우)%by%MC 몽",144
"103","Love (feat. Bumkey, Paloalto)%by%프라이머리(Primary)",143
"104","Trouble Maker%by%트러블메이커(Troublemaker)",143
"105","붉은 노을%by%BIGBANG",143
"106","편지%by%김광진",143
"107","I Believe (엽기적인 그녀 O.S.T)%by%신승훈",142
"108","가로수 그늘 아래 서면%by%장재인",142
"109","나만 몰랐던 이야기%by%아이유(IU)",142
"110","미워도 다시 한번 (Original ver.)%by%바이브(Vibe)",142
"111","만약에 말야 (전우성 Solo)%by%노을",140
"112","미친거니%by%바이브(Vibe)",140
"113","씨스루 (feat. Zion.T, 개코 Of 다이나믹듀오)%by%프라이머리(Primary)",140
"114","차마...%by%성시경",139
"115","To Heaven (천국으로 보낸 편지)%by%조성모",137
