,Original,Logit,O_Correct,L_Correct,noIntersect,Date
0,0.0810810810811,0.0526315789474,15,10,4,2012-01-01
1,0.0810810810811,0.0309278350515,15,6,4,2012-01-02
2,0.0752688172043,0.0416666666667,14,8,5,2012-01-03
3,0.0752688172043,0.0582010582011,14,11,5,2012-01-04
4,0.0695187165775,0.0695187165775,13,13,6,2012-01-05
5,0.0471204188482,0.0526315789474,9,10,4,2012-01-06
6,0.0471204188482,0.0582010582011,9,11,4,2012-01-07
7,0.0695187165775,0.063829787234,13,12,6,2012-01-08
8,0.0416666666667,0.0582010582011,8,11,5,2012-01-09
9,0.0362694300518,0.0526315789474,7,10,4,2012-01-10
10,0.0416666666667,0.063829787234,8,12,5,2012-01-11
11,0.0152284263959,0.025641025641,3,5,2,2012-01-12
12,0.0309278350515,0.0471204188482,6,9,3,2012-01-13
13,0.0362694300518,0.0416666666667,7,8,4,2012-01-14
14,0.0309278350515,0.0582010582011,6,11,4,2012-01-15
15,0.0204081632653,0.0471204188482,4,9,3,2012-01-16
16,0.0152284263959,0.0416666666667,3,8,2,2012-01-17
17,0.0204081632653,0.0362694300518,4,7,3,2012-01-18
18,0.025641025641,0.0362694300518,5,7,3,2012-01-19
19,0.0204081632653,0.0362694300518,4,7,3,2012-01-20
20,0.0204081632653,0.0471204188482,4,9,1,2012-01-21
21,0.025641025641,0.0204081632653,5,4,2,2012-01-22
22,0.0362694300518,0.0362694300518,7,7,5,2012-01-23
23,0.0471204188482,0.0989010989011,9,18,5,2012-01-24
24,0.0204081632653,0.0152284263959,4,3,2,2012-01-25
25,0.025641025641,0.0869565217391,5,16,2,2012-01-26
26,0.0152284263959,0.0869565217391,3,16,2,2012-01-27
27,0.0152284263959,0.0362694300518,3,7,2,2012-01-28
28,0.0204081632653,0.0471204188482,4,9,3,2012-01-29
29,0.0152284263959,0.0309278350515,3,6,2,2012-01-30
30,0.0204081632653,0.0810810810811,4,15,3,2012-01-31
31,0.0204081632653,0.0416666666667,4,8,3,2012-02-01
32,0.0204081632653,0.0416666666667,4,8,3,2012-02-02
33,0.0152284263959,0.0810810810811,3,15,3,2012-02-03
34,0.0152284263959,0.0869565217391,3,16,3,2012-02-04
35,0.010101010101,0.025641025641,2,5,2,2012-02-05
36,0.010101010101,0.0869565217391,2,16,2,2012-02-06
37,0.0362694300518,0.104972375691,7,19,5,2012-02-07
38,0.0989010989011,0.111111111111,18,20,17,2012-02-08
39,0.0869565217391,0.0928961748634,16,17,15,2012-02-09
40,0.111111111111,0.136363636364,20,24,12,2012-02-10
41,0.149425287356,0.162790697674,26,28,23,2012-02-11
42,0.156069364162,0.149425287356,27,26,22,2012-02-12
43,0.123595505618,0.123595505618,22,22,20,2012-02-13
44,0.117318435754,0.111111111111,21,20,17,2012-02-14
45,0.117318435754,0.0989010989011,21,18,16,2012-02-15
46,0.111111111111,0.0928961748634,20,17,15,2012-02-16
47,0.117318435754,0.104972375691,21,19,16,2012-02-17
48,0.123595505618,0.117318435754,22,21,17,2012-02-18
49,0.142857142857,0.136363636364,25,24,20,2012-02-19
50,0.142857142857,0.136363636364,25,24,20,2012-02-20
51,0.136363636364,0.136363636364,24,24,19,2012-02-21
52,0.0869565217391,0.197604790419,16,33,15,2012-02-22
53,0.0695187165775,0.0752688172043,13,14,8,2012-02-23
54,0.0695187165775,0.0869565217391,13,16,10,2012-02-24
55,0.0810810810811,0.0869565217391,15,16,10,2012-02-25
56,0.0752688172043,0.0810810810811,14,15,9,2012-02-26
57,0.0869565217391,0.0869565217391,16,16,10,2012-02-27
58,0.063829787234,0.0695187165775,12,13,8,2012-02-28
59,0.063829787234,0.0752688172043,12,14,8,2012-02-29
60,0.0695187165775,0.063829787234,13,12,8,2012-03-01
61,0.0695187165775,0.0989010989011,13,18,9,2012-03-02
62,0.0582010582011,0.0869565217391,11,16,5,2012-03-03
63,0.0752688172043,0.0989010989011,14,18,9,2012-03-04
64,0.063829787234,0.0989010989011,12,18,8,2012-03-05
65,0.063829787234,0.0869565217391,12,16,7,2012-03-06
66,0.0526315789474,0.104972375691,10,19,6,2012-03-07
67,0.063829787234,0.142857142857,12,25,7,2012-03-08
68,0.063829787234,0.136363636364,12,24,7,2012-03-09
69,0.063829787234,0.149425287356,12,26,7,2012-03-10
70,0.0582010582011,0.129943502825,11,23,7,2012-03-11
71,0.0582010582011,0.136363636364,11,24,7,2012-03-12
72,0.0526315789474,0.136363636364,10,24,6,2012-03-13
73,0.063829787234,0.136363636364,12,24,9,2012-03-14
74,0.063829787234,0.136363636364,12,24,10,2012-03-15
75,0.063829787234,0.0752688172043,12,14,11,2012-03-16
76,0.0471204188482,0.063829787234,9,12,8,2012-03-17
77,0.063829787234,0.136363636364,12,24,10,2012-03-18
78,0.063829787234,0.129943502825,12,23,10,2012-03-19
79,0.0582010582011,0.129943502825,11,23,9,2012-03-20
80,0.0582010582011,0.117318435754,11,21,9,2012-03-21
81,0.0526315789474,0.0989010989011,10,18,8,2012-03-22
82,0.0582010582011,0.063829787234,11,12,8,2012-03-23
83,0.0698924731183,0.130681818182,13,23,9,2012-03-24
84,0.063829787234,0.117318435754,12,21,8,2012-03-25
85,0.0473684210526,0.124293785311,9,22,7,2012-03-26
86,0.0473684210526,0.111731843575,9,20,7,2012-03-27
