,JC_Original,JC_Logit,O_Correct,L_Correct,JC_OnL,noIntersect,Date
0,0.0810810810811,0.0362694300518,15,7,0.294117647059,5,2012-01-02
1,0.0752688172043,0.0362694300518,14,7,0.166666666667,3,2012-01-03
2,0.0695187165775,0.0928961748634,13,17,0.304347826087,7,2012-01-05
3,0.0471204188482,0.0362694300518,9,7,0.230769230769,3,2012-01-06
4,0.0362694300518,0.0526315789474,7,10,0.307692307692,4,2012-01-10
5,0.0309278350515,0.0810810810811,6,15,0.166666666667,3,2012-01-15
6,0.025641025641,0.025641025641,5,5,0.25,2,2012-01-19
7,0.0204081632653,0.0152284263959,4,3,0.4,2,2012-01-20
8,0.0152284263959,0.0582010582011,3,11,0.166666666667,2,2012-01-28
9,0.0152284263959,0.0471204188482,3,9,0.2,2,2012-01-30
10,0.0204081632653,0.0526315789474,4,10,0.272727272727,3,2012-02-01
11,0.0152284263959,0.0810810810811,3,15,0.2,3,2012-02-04
12,0.0869565217391,0.0582010582011,16,11,0.588235294118,10,2012-02-09
13,0.111111111111,0.0810810810811,20,15,0.346153846154,9,2012-02-10
14,0.117318435754,0.111111111111,21,20,0.708333333333,17,2012-02-15
15,0.117318435754,0.117318435754,21,21,0.68,17,2012-02-17
16,0.0869565217391,0.0695187165775,16,13,0.526315789474,10,2012-02-22
17,0.0695187165775,0.063829787234,13,12,0.5625,9,2012-02-23
18,0.0695187165775,0.0526315789474,13,10,0.4375,7,2012-02-24
19,0.0810810810811,0.0810810810811,15,15,0.428571428571,9,2012-02-25
20,0.0752688172043,0.0695187165775,14,13,0.421052631579,8,2012-02-26
21,0.063829787234,0.0752688172043,12,14,0.444444444444,8,2012-02-28
22,0.0695187165775,0.0869565217391,13,16,0.380952380952,8,2012-03-02
23,0.0582010582011,0.0582010582011,11,11,0.571428571429,8,2012-03-21
24,0.0473684210526,0.0994475138122,9,18,0.421052631579,8,2012-03-26
25,0.0364583333333,0.0364583333333,7,7,0.166666666667,2,2012-03-30
26,0.025641025641,0.0695187165775,5,13,0.285714285714,4,2012-04-02
27,0.0204081632653,0.117318435754,4,21,0.136363636364,3,2012-04-06
28,0.0364583333333,0.0473684210526,7,9,0.230769230769,3,2012-04-17
29,0.0756756756757,0.0698924731183,14,13,0.5,9,2012-04-18
30,0.150289017341,0.124293785311,26,22,0.655172413793,19,2012-04-23
31,0.111111111111,0.0695187165775,20,13,0.571428571429,12,2012-05-02
32,0.0869565217391,0.0928961748634,16,17,0.375,9,2012-05-04
