,JC_Original,JC_Logit,O_Correct,L_Correct,JC_OnL,noIntersect,Date
0,0.0810810810811,0.0526315789474,15,10,0.388888888889,7,2012-01-02
1,0.0752688172043,0.0582010582011,14,11,0.470588235294,8,2012-01-03
2,0.0695187165775,0.0810810810811,13,15,0.555555555556,10,2012-01-05
3,0.0471204188482,0.0471204188482,9,9,0.384615384615,5,2012-01-06
4,0.0362694300518,0.0471204188482,7,9,0.454545454545,5,2012-01-10
5,0.0309278350515,0.0309278350515,6,6,0.333333333333,3,2012-01-15
6,0.025641025641,0.0416666666667,5,8,0.444444444444,4,2012-01-19
7,0.0204081632653,0.010101010101,4,2,0.5,2,2012-01-20
8,0.0152284263959,0.0526315789474,3,10,0.181818181818,2,2012-01-28
9,0.0152284263959,0.0416666666667,3,8,0.222222222222,2,2012-01-30
10,0.0204081632653,0.0582010582011,4,11,0.25,3,2012-02-01
11,0.0152284263959,0.0416666666667,3,8,0.375,3,2012-02-04
12,0.0869565217391,0.0869565217391,16,16,0.6,12,2012-02-09
13,0.111111111111,0.129943502825,20,23,0.72,18,2012-02-10
14,0.117318435754,0.111111111111,21,20,0.64,16,2012-02-15
15,0.117318435754,0.136363636364,21,24,0.666666666667,18,2012-02-17
16,0.0869565217391,0.0989010989011,16,18,0.7,14,2012-02-22
17,0.0695187165775,0.0928961748634,13,17,0.666666666667,12,2012-02-23
18,0.0695187165775,0.0752688172043,13,14,0.588235294118,10,2012-02-24
19,0.0810810810811,0.063829787234,15,12,0.588235294118,10,2012-02-25
20,0.0752688172043,0.0752688172043,14,14,0.4,8,2012-02-26
21,0.063829787234,0.104972375691,12,19,0.55,11,2012-02-28
22,0.0695187165775,0.0582010582011,13,11,0.6,9,2012-03-02
23,0.0582010582011,0.0471204188482,11,9,0.666666666667,8,2012-03-21
24,0.0473684210526,0.0473684210526,9,9,0.5,6,2012-03-26
25,0.0364583333333,0.0310880829016,7,6,0.444444444444,4,2012-03-30
26,0.025641025641,0.025641025641,5,5,0.428571428571,3,2012-04-02
27,0.0204081632653,0.063829787234,4,12,0.142857142857,2,2012-04-06
28,0.0364583333333,0.0205128205128,7,4,0.375,3,2012-04-17
29,0.0756756756757,0.0641711229947,14,12,0.625,10,2012-04-18
30,0.150289017341,0.137142857143,26,24,0.851851851852,23,2012-04-23
31,0.111111111111,0.149425287356,20,26,0.703703703704,19,2012-05-02
32,0.0869565217391,0.111111111111,16,20,0.714285714286,15,2012-05-04
33,0.0582010582011,0.0362694300518,11,7,0.384615384615,5,2012-05-20
34,0.0582010582011,0.0526315789474,11,10,0.4,6,2012-05-21
35,0.0471204188482,0.0416666666667,9,8,0.545454545455,6,2012-05-22
36,0.0582010582011,0.0695187165775,11,13,0.6,9,2012-05-28
37,0.0526315789474,0.0416666666667,10,8,0.636363636364,7,2012-06-01
38,0.0362694300518,0.0309278350515,7,6,0.857142857143,6,2012-06-08
