Rank,Title,Artist,Date
1,원하고 원망하죠,애즈 원(As One),20141129
2,佳人(가인),나윤권,20141129
3,숲,이승기,20141129
4,더 아름다워져,성시경,20141129
5,이제 그만,이소라,20141129
6,피(避),플라이 투 더 스카이(Fly To The Sky),20141129
7,어땠을까 (feat. 박정현),싸이(Psy),20141129
8,Must Have Love (우리들의 겨울),SG워너비,20141129
9,어쩌면 너를,윤상,20141129
10,이제서야,김동률,20141129
11,내 맘이 안 그래,이승환,20141129
12,다시... 사랑합니다 (Love Again) (Song By 규현) ,S.M. The Ballad '제규종지',20141129
13,사랑 부르기,장나라,20141129
14,낮 달,엠씨 더 맥스(M.C the Max),20141129
15,그대와 같아 (Rhodes RMX),주영(JooYoung),20141129
16,혼자 있는 시간,토이(Toy),20141129
17,"안녕, 나의 메리 (Merry My Mary)",김은태,20141129
18,그립다,김연우,20141129
19,너에게 간다,윤종신,20141129
20,사랑하다,윤하(Younha/ユンナ),20141129
21,지나간다,김범수,20141129
22,사랑... 다 거짓말,린(LYn),20141129
23,나쁘고 아픈 나,다비치,20141129
24,남자답게,플라이 투 더 스카이(Fly To The Sky),20141129
25,너에게 모자란 나,임창정,20141129
26,아침 눈물,아이유(IU),20141129
27,너와 같은 별을 보며,알레그로(Allegrow),20141129
28,Hey Girl,팀(Tim),20141129
29,잔소리 (With 2AM 슬옹),아이유(IU),20141129
30,Just With U (현호 Solo),아이리쉬 커피(Irish Coffee),20141129
31,Love Valentine,어쿠스틱 콜라보(Acoustic Collabo),20141129
32,Goodbye (Original Mix),라디(Ra.D),20141129
33,가슴 시린 이야기 (feat. 용준형 Of Beast),휘성,20141129
34,어느날 오후,정원영,20141129
35,로맨틱 겨울 (feat. 김진호 Of SG워너비),김진표(JP),20141129
36,결혼까지 생각했어,휘성,20141129
37,Caramel espreSSo,Caramel espreSSo(카라멜 에스프레소),20141129
38,꿈,보보(Bobo),20141129
39,괜찮을 것 같아,쿨(COOL),20141129
40,아니라기에,2AM,20141129
41,내꺼라면,소란(Soran),20141129
42,하얀 겨울,김범수,20141129
43,여자는 울고 (Women Shed Tears),바다,20141129
44,그런 날이 오겠죠,신승훈,20141129
45,난 그댈 보면서 (duet with 이소라),조규찬,20141129
46,Sera (In Las Vegas),더 클래식(The Classic),20141129
47,좋은사람,박효신,20141129
48,나의 고백,자화상,20141129
49,크리스마스니까,성시경,20141129
50,나무,보아(BoA),20141129
51,못해 (feat. 美),포맨,20141129
52,좋은 사람 (feat. 김형중),토이(Toy),20141129
53,비켜줄께,브라운 아이드 소울(Brown Eyed Soul),20141129
54,못다한 한마디...,조성모,20141129
55,Amen,이소라,20141129
56,미리 메리 크리스마스 (feat. 천둥 Of MBLAQ),아이유(IU),20141129
57,보고 싶다,김범수,20141129
58,차마...,성시경,20141129
59,잘못된 만남,김건모,20141129
60,송년회,이지영,20141129
61,"그대와 나, 설레임 (feat. 소울맨)",어쿠스틱 콜라보(Acoustic Collabo),20141129
62,좋은 날,아이유(IU),20141129
63,나만 몰랐던 이야기,아이유(IU),20141129
64,강남스타일,싸이(Psy),20141129
65,니가 싫어,어반 자카파(Urban Zakapa),20141129
66,"사람, 사랑",김범수,20141129
67,천생연분 (Rave),솔리드(Solid),20141129
68,내사랑 내곁에,김현식,20141129
69,운명,쿨(COOL),20141129
70,고백 (Produced By Vibe 윤민수),포맨,20141129
71,사랑에 빠지고 싶다,김조한,20141129
72,슬퍼지려 하기 전에,쿨(COOL),20141129
73,한 남자,김종국,20141129
74,비와 당신 (영화 '라디오 스타 '삽입곡),럼블 피쉬(Rumble Fish),20141129
75,날개,언타이틀(Untitle),20141129
76,별 빛이 내린다,안녕 바다,20141129
77,잘지내,정엽,20141129
78,사랑이 다른 사랑으로 잊혀지네,하림,20141129
79,슬픔활용법,김범수,20141129
80,우리,이병우,20141129
81,이별택시,김연우,20141129
82,You Are My Lady,정엽,20141129
83,자니 (feat. Dynamic Duo),프라이머리(Primary),20141129
84,Officially Missing You,긱스(Geeks),20141129
85,회상 (December),터보(Turbo),20141129
86,뜨거운 안녕 (Vocal By 이지형),토이(Toy),20141129
87,Missing You,플라이 투 더 스카이(Fly To The Sky),20141129
88,White Love (스키장에서)(Remix ver.),터보(Turbo),20141129
89,추억은 사랑을 닮아,박효신,20141129
90,정,영턱스클럽(YTC),20141129
91,3!4!,룰라(Roo'Ra),20141129
92,마지막 내 숨소리,엠씨 더 맥스(M.C the Max),20141129
93,라라라,SG워너비,20141129
94,버스 안에서,자자(Zaza),20141129
95,거북이,다비치,20141129
96,오랜만이야,임창정,20141129
97,넌 감동이었어,성시경,20141129
98,내가 만일,안치환,20141129
99,가시,버즈(Buzz),20141129
100,With Me,휘성,20141129
1,원하고 원망하죠,애즈 원(As One),20141130
2,숲,이승기,20141130
3,더 아름다워져,성시경,20141130
4,이제 그만,이소라,20141130
5,피(避),플라이 투 더 스카이(Fly To The Sky),20141130
6,佳人(가인),나윤권,20141130
7,Must Have Love (우리들의 겨울),SG워너비,20141130
8,다시... 사랑합니다 (Love Again) (Song By 규현) ,S.M. The Ballad '제규종지',20141130
9,사랑 부르기,장나라,20141130
10,내 맘이 안 그래,이승환,20141130
11,이제서야,김동률,20141130
12,낮 달,엠씨 더 맥스(M.C the Max),20141130
13,크리스마스니까,성시경,20141130
14,사랑하다,윤하(Younha/ユンナ),20141130
15,사랑... 다 거짓말,린(LYn),20141130
16,남자답게,플라이 투 더 스카이(Fly To The Sky),20141130
17,어쩌면 너를,윤상,20141130
18,나쁘고 아픈 나,다비치,20141130
19,미리 메리 크리스마스 (feat. 천둥 Of MBLAQ),아이유(IU),20141130
20,여자는 울고 (Women Shed Tears),바다,20141130
21,그대와 같아 (Rhodes RMX),주영(JooYoung),20141130
22,그립다,김연우,20141130
23,혼자 있는 시간,토이(Toy),20141130
24,Love Valentine,어쿠스틱 콜라보(Acoustic Collabo),20141130
25,너에게 모자란 나,임창정,20141130
26,지나간다,김범수,20141130
27,"안녕, 나의 메리 (Merry My Mary)",김은태,20141130
28,괜찮을 것 같아,쿨(COOL),20141130
29,Just With U (현호 Solo),아이리쉬 커피(Irish Coffee),20141130
30,가슴 시린 이야기 (feat. 용준형 Of Beast),휘성,20141130
31,아침 눈물,아이유(IU),20141130
32,나무,보아(BoA),20141130
33,하얀 겨울,김범수,20141130
34,아니라기에,2AM,20141130
35,보고 싶다,김범수,20141130
36,너에게 간다,윤종신,20141130
37,Goodbye (Original Mix),라디(Ra.D),20141130
38,잔소리 (With 2AM 슬옹),아이유(IU),20141130
39,그런 날이 오겠죠,신승훈,20141130
40,좋은사람,박효신,20141130
41,로맨틱 겨울 (feat. 김진호 Of SG워너비),김진표(JP),20141130
42,못다한 한마디...,조성모,20141130
43,결혼까지 생각했어,휘성,20141130
44,잘못된 만남,김건모,20141130
45,못해 (feat. 美),포맨,20141130
46,내꺼라면,소란(Soran),20141130
47,회상 (December),터보(Turbo),20141130
48,비와 당신 (영화 '라디오 스타 '삽입곡),럼블 피쉬(Rumble Fish),20141130
49,꿈,보보(Bobo),20141130
50,Hey Girl,팀(Tim),20141130
51,고백 (Produced By Vibe 윤민수),포맨,20141130
52,어느날 오후,정원영,20141130
53,너와 같은 별을 보며,알레그로(Allegrow),20141130
54,좋은 사람 (feat. 김형중),토이(Toy),20141130
55,가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학,20141130
56,자니 (feat. Dynamic Duo),프라이머리(Primary),20141130
57,"사람, 사랑",김범수,20141130
58,운명,쿨(COOL),20141130
59,Caramel espreSSo,Caramel espreSSo(카라멜 에스프레소),20141130
60,난 그댈 보면서 (duet with 이소라),조규찬,20141130
61,니가 싫어,어반 자카파(Urban Zakapa),20141130
62,Officially Missing You,긱스(Geeks),20141130
63,사랑에 빠지고 싶다,김조한,20141130
64,Sera (In Las Vegas),더 클래식(The Classic),20141130
65,좋은 날,아이유(IU),20141130
66,차마...,성시경,20141130
67,나의 고백,자화상,20141130
68,슬퍼지려 하기 전에,쿨(COOL),20141130
69,우리,이병우,20141130
70,하지 못한 말,노을,20141130
71,슬픔활용법,김범수,20141130
72,넌 감동이었어,성시경,20141130
73,추억은 사랑을 닮아,박효신,20141130
74,이별택시,김연우,20141130
75,"그대와 나, 설레임 (feat. 소울맨)",어쿠스틱 콜라보(Acoustic Collabo),20141130
76,천생연분 (Rave),솔리드(Solid),20141130
77,사랑이 다른 사랑으로 잊혀지네,하림,20141130
78,Missing You,플라이 투 더 스카이(Fly To The Sky),20141130
79,한 남자,김종국,20141130
80,Baby Baby,포맨,20141130
81,비켜줄께,브라운 아이드 소울(Brown Eyed Soul),20141130
82,날개,언타이틀(Untitle),20141130
83,Amen,이소라,20141130
84,물끄러미 (Piano ver.),지아(Zia),20141130
85,송년회,이지영,20141130
86,You Are My Lady,정엽,20141130
87,들리나요,태연 (Taeyeon),20141130
88,가난한 사랑,김종욱,20141130
89,너랑 나,아이유(IU),20141130
90,Boogie On & On,빈지노(Beenzino),20141130
91,거북이,다비치,20141130
92,잘지내,정엽,20141130
93,피어나,가인 [브라운아이드걸스],20141130
94,다시 시작해보자,김동률,20141130
95,Gentleman,싸이(Psy),20141130
96,"너에게 난, 나에게 넌",자전거 탄 풍경,20141130
97,하루 종일 비가 내렸어,디아(Dia) [키스 & 크라이],20141130
98,With Me,휘성,20141130
99,내게 오는 길 (Bonus Track),성시경,20141130
100,정,영턱스클럽(YTC),20141130
1,원하고 원망하죠,애즈 원(As One),20141201
2,숲,이승기,20141201
3,더 아름다워져,성시경,20141201
4,피(避),플라이 투 더 스카이(Fly To The Sky),20141201
5,이제 그만,이소라,20141201
6,사랑... 다 거짓말,린(LYn),20141201
7,내 맘이 안 그래,이승환,20141201
