Date,id,meanT,maxT,minT,dewPoint,avgH,maxH,minH,pressure,avgW,maxW,visibleD,wind_chill,heat_index,discomfort_index
2014-01-01,2659,3,8,-2,-4,56,69,37,1013.58,12,28,8.8,-6.82510336578,8.0,49.2072
2014-01-02,2660,1,6,-4,-11,45,64,19,1021.0,6,13,,-5.90754628042,6.0,47.398
2014-01-03,2661,2,7,-4,-5,68,81,37,1017.58,5,15,8.5,-6.29065285046,7.0,46.9584
2014-01-04,2662,-2,3,-6,-11,51,64,36,1019.38,9,13,,-7.15054628042,3.0,42.9517
2014-01-05,2663,-2,3,-6,-11,52,64,30,1023.5,6,13,10.0,-7.15054628042,3.0,42.8384
2014-01-06,2664,0,6,-7,-8,64,80,34,1027.96,4,11,7.0,-7.33576953916,6.0,45.8096
2014-01-07,2665,2,6,-2,-4,66,80,45,1025.3,4,9,4.1,-3.71938579701,6.0,45.6424
2014-01-08,2666,-1,3,-5,-6,63,87,30,1021.59,11,30,2.5,-8.89719694616,3.0,41.5921
2014-01-09,2667,-8,-4,-11,-23,29,41,16,1028.5,18,30,,-12.6261969462,-4.0,37.7646
2014-01-10,2668,-6,-1,-10,-14,53,74,37,1031.42,5,11,10.0,-9.20026953916,-1.0,37.3863
2014-01-11,2669,-4,2,-9,-13,55,86,17,1031.42,5,11,6.7,-8.57876953916,2.0,41.144
2014-01-12,2670,-2,3,-8,-13,48,75,15,1028.31,10,24,6.9,-10.09847459,3.0,43.2916
2014-01-13,2671,-8,-3,-12,-23,30,49,16,1032.83,9,17,,-11.6050042301,-3.0,38.689
2014-01-14,2672,-6,0,-11,-17,45,67,21,1033.37,5,11,10.0,-9.82176953916,0.0,39.865
2014-01-15,2673,-4,1,-10,-13,56,79,25,1032.83,4,9,8.4,-8.69138579701,1.0,39.6564
2014-01-16,2674,-2,4,-7,-7,64,80,49,1029.0,5,13,4.7,-7.77204628042,4.0,42.9224
2014-01-17,2675,-2,3,-8,-8,66,86,28,1026.79,4,9,3.2,-7.44838579701,3.0,41.2522
2014-01-18,2676,-3,1,-7,-13,47,74,23,1027.33,11,30,8.4,-10.1401969462,1.0,40.8543
2014-01-19,2677,-4,2,-11,-14,49,73,25,1029.2,5,13,9.3,-10.2580462804,2.0,41.8832
2014-01-20,2678,0,3,-4,-4,78,87,59,1019.08,11,22,2.4,-7.3602105113,3.0,39.8926
2014-01-21,2679,-5,-3,-8,-11,63,74,51,1024.74,12,18,4.6,-9.27764125141,-3.0,32.9899
2014-01-22,2680,-5,1,-11,-12,61,79,38,1028.93,4,11,5.8,-9.82176953916,1.0,38.9909
2014-01-23,2681,-2,5,-8,-7,67,86,45,1026.58,4,13,7.0,-8.39354628042,5.0,44.0855
2014-01-24,2682,4,8,-1,-3,60,75,49,1020.87,8,13,6.2,-4.04304628042,8.0,48.952
2014-01-25,2683,2,5,0,0,73,87,51,1016.17,7,20,4.0,-4.60188717332,5.0,43.5245
2014-01-26,2684,-2,1,-6,-13,46,59,28,1027.54,13,22,,-8.6032105113,1.0,40.9874
2014-01-27,2685,-2,5,-8,-9,58,80,26,1024.62,5,15,8.0,-8.77665285046,5.0,44.927
