Artist,cnt
성시경,228.0
아이유(IU),223.0
김범수,159.0
휘성,141.0
김동률,127.0
브라운 아이드 소울(Brown Eyed Soul),126.0
10cm(십센치),119.0
박정현,114.0
클래지콰이(Clazziquai),109.0
프라이머리(Primary),107.0
바이브(Vibe),106.0
포맨,104.0
린(LYn),93.0
MC 몽,91.0
다비치,91.0
리쌍(Leessang),90.0
버스커 버스커(Busker Busker),89.0
박효신,84.0
토이(Toy),83.0
다이나믹 듀오(Dynamic Duo),82.0
싸이(Psy),81.0
에피톤 프로젝트(Epitone Project),79.0
어반 자카파(Urban Zakapa),77.0
BIGBANG,76.0
이승철,76.0
이적,76.0
임창정,76.0
애즈 원(As One),74.0
브라운 아이즈(Brown Eyes),73.0
허각,72.0
투애니원(2NE1),70.0
럼블 피쉬(Rumble Fish),70.0
이소라,69.0
박지윤,69.0
버벌진트(Verbal Jint),67.0
나얼(Na-Ul),65.0
에픽 하이(Epik High),63.0
엠씨 더 맥스(M.C the Max),62.0
쿨(COOL),62.0
루시드 폴(Lucid Fall),59.0
재주소년,59.0
티아라(T-ara),57.0
노리플라이(no reply),57.0
이수영,56.0
김연우,56.0
임재범,56.0
SG워너비,56.0
러브홀릭(Loveholic),56.0
프리 스타일(Free Style),55.0
이승기,55.0
빈지노(Beenzino),55.0
페퍼톤스(Peppertones),54.0
씨스타(Sistar),52.0
바비 킴(Bobby Kim),50.0
노을,50.0
박혜경,49.0
부활,48.0
요조(Yozoh),48.0
윤하(Younha/ユンナ),47.0
테이(Tei),47.0
나윤권,46.0
언니네 이발관,45.0
김건모,44.0
플라이 투 더 스카이(Fly To The Sky),44.0
슈프림팀(Supreme Team),44.0
캐스커(Casker),43.0
소녀시대,42.0
조규찬,42.0
빅마마(Big Mama),42.0
스윗소로우(SWEET SORROW),41.0
김진표(JP),41.0
김종국,41.0
백지영,40.0
이지형,39.0
알리(Ali),38.0
제이레빗(J Rabbit),38.0
윤건,37.0
장재인,36.0
화요비,36.0
해이(Hey),36.0
라디(Ra.D),36.0
G-DRAGON,35.0
포터블 그루브 나인(Portable Groove 09),34.0
박기영,34.0
어쿠스틱 콜라보(Acoustic Collabo),33.0
아이비(IVY),33.0
긱스(Geeks),33.0
조성모,33.0
넬(Nell),33.0
비쥬(Bijou),33.0
원더걸스(Wonder Girls),32.0
전람회,32.0
짙은(Zitten),32.0
t윤미래,31.0
모리(Morrie),31.0
에코 브릿지(Eco bridge),31.0
버즈(Buzz),31.0
Zion.T,30.0
애프터 스쿨(After School) ,29.0
델리 스파이스(Deli Spice),29.0
케이윌(K.Will),29.0
거미,29.0
소규모 아카시아 밴드,29.0
장나라,29.0
바닐라 어쿠스틱(Vanilla Acoustic),29.0
자우림(Jaurim),28.0
슈가버블(Sugar Bubble),28.0
씨스타19(Sistar 19),28.0
커피소년,28.0
윤한(Yoonhan),28.0
이기찬,28.0
메이트(Mate),27.0
유미,27.0
동경소녀,27.0
몽니(Monni),27.0
걸스데이(Girl's Day),27.0
태연 (Taeyeon),26.0
2AM,26.0
브로콜리너마저,26.0
클로버(Clover) [남성솔로],26.0
하림,26.0
허밍 어반 스테레오(Humming Urban Stereo),26.0
가을방학,26.0
지오디(god),26.0
박보람,25.0
정준일 [메이트],25.0
정키(Jung Key),25.0
장혜진,25.0
터보(Turbo),25.0
하울(HowL),25.0
박선주,25.0
에일리(Ailee),24.0
써드코스트(3rd Coast),23.0
나인뮤지스(Nine Muses),23.0
양파,23.0
임정희,23.0
울랄라세션(Ulala Session),23.0
보드카 레인(Vodka Rain),23.0
BMK,23.0
옥상달빛,23.0
검정치마,22.0
루싸이트 토끼,22.0
지아(Zia),22.0
테이크(Take),22.0
좋아서 하는 밴드,22.0
서영은,22.0
유재하,22.0
한충완,22.0
정인,21.0
공일오비(015B),21.0
브라운 아이드 걸스,21.0
김조한,21.0
엄정화,21.0
더 클래식(The Classic),21.0
두번째 달,21.0
김경호,21.0
더 원(The One),21.0
정재욱,20.0
도나웨일(Donawhale),20.0
리즈(Leeds),20.0
장연주,20.0
김광석,20.0
Kricc(크릭),20.0
카라(Kara),20.0
네미시스(Nemesis),20.0
뱅크(Bank),19.0
