Title,Artist,cnt
다시 사랑한다 말할까,김동률,331.0
그런 사람 또 없습니다,이승철,325.0
벌써 일년,브라운 아이즈(Brown Eyes),319.0
소주 한 잔,임창정,294.0
여전히 아름다운지 (feat. 김연우),토이(Toy),287.0
바람이 분다,이소라,280.0
거리에서,성시경,280.0
사랑.. 그 놈,바비 킴(Bobby Kim),277.0
너를 위해,임재범,274.0
죽일 놈 (Guilty),다이나믹 듀오(Dynamic Duo),267.0
비와 당신 (영화 '라디오 스타 '삽입곡),럼블 피쉬(Rumble Fish),267.0
보고 싶다,김범수,266.0
Never Ending Story,부활,262.0
좋은 날,아이유(IU),254.0
Officially Missing You,긱스(Geeks),245.0
사랑합니다...,팀(Tim),244.0
낙원 (feat. 이재훈),싸이(Psy),243.0
끝사랑,김범수,240.0
기억의 습작,전람회,238.0
널 생각해,원 모어 찬스(one more chance),238.0
정말 사랑했을까,브라운 아이드 소울(Brown Eyed Soul),232.0
"헤어지지 못하는 여자, 떠나가지 못하는 남자 (feat. 정인)",리쌍(Leessang),230.0
잘못된 만남,김건모,228.0
출발,김동률,228.0
우산 (feat. 윤하),에픽 하이(Epik High),226.0
귀로,나얼(Na-Ul),226.0
가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학,222.0
고백,델리 스파이스(Deli Spice),218.0
사랑한다는 흔한 말,김연우,217.0
다행이다,이적,216.0
So Cool (쏘쿨),씨스타(Sistar),215.0
기억을 걷는 시간,넬(Nell),214.0
잔소리 (With 2AM 슬옹),아이유(IU),213.0
너랑 나,아이유(IU),211.0
사랑은 은하수 다방에서,10cm(십센치),207.0
안녕이라고 말하지마,다비치,205.0
비가 오는 날엔,비스트(Beast),204.0
사랑비,김태우,201.0
서쪽 하늘,울랄라세션(Ulala Session),200.0
"그대와 나, 설레임 (feat. 소울맨)",어쿠스틱 콜라보(Acoustic Collabo),199.0
사랑이 다른 사랑으로 잊혀지네,하림,198.0
그리워 그리워,노을,196.0
벚꽃 엔딩,버스커 버스커(Busker Busker),196.0
두사람,성시경,196.0
술 한잔 해요,지아(Zia),194.0
넌 감동이었어,성시경,192.0
좋아보여 (feat. 검정치마),버벌진트(Verbal Jint),191.0
체념,빅마마(Big Mama),190.0
아름다운 이별,김건모,190.0
그땐 그땐 그땐,슈프림팀(Supreme Team),190.0
I Love You,포지션(Position),189.0
나였으면,나윤권,188.0
Go Away,투애니원(2NE1),188.0
좋을텐데,성시경,186.0
그날에 우리,어반 자카파(Urban Zakapa),183.0
여수 밤바다,버스커 버스커(Busker Busker),182.0
Aqua Man,빈지노(Beenzino),181.0
사진을 보다가,바이브(Vibe),177.0
"너에게 난, 나에게 넌",자전거 탄 풍경,176.0
꿈에,박정현,175.0
애상,쿨(COOL),175.0
행복한 나를,에코(ECO),174.0
365일,알리(Ali),174.0
Loving U (러빙유),씨스타(Sistar),174.0
사랑할수록,부활,174.0
자니 (feat. Dynamic Duo),프라이머리(Primary),173.0
중독된 사랑,조장혁,173.0
해변의 여인,쿨(COOL),173.0
생각이 나,부활,169.0
하늘을 달리다,이적,169.0
바람기억,나얼(Na-Ul),168.0
FANTASTIC BABY,BIGBANG,165.0
사랑은 언제나 목마르다,유미,164.0
그남자 그여자 (feat. 장혜진),바이브(Vibe),163.0
감기,이기찬,162.0
어땠을까 (feat. 박정현),싸이(Psy),162.0
청혼,노을,161.0
"수고했어, 오늘도",옥상달빛,161.0
죽을 만큼 아파서 (feat. 멜로우),MC 몽,158.0
그댄 행복에 살텐데,리즈(Leeds),157.0
미워도 다시 한번 (Original ver.),바이브(Vibe),156.0
나혼자 (Alone),씨스타(Sistar),156.0
강남스타일,싸이(Psy),156.0
이별택시,김연우,155.0
With Coffee...,브라운 아이즈(Brown Eyes),155.0
사랑은 봄비처럼... 이별은 겨울비처럼,임현정,155.0
가슴 시린 이야기 (feat. 용준형 Of Beast),휘성,154.0
Boogie On & On,빈지노(Beenzino),154.0
저녁 하늘,에일리(Ailee),154.0
보여줄게,에일리(Ailee),154.0
사랑 안해,백지영,153.0
I'm In Love (Piano RMX),라디(Ra.D),152.0
인연 (동녘바람),이선희,151.0
비오는 압구정,브라운 아이즈(Brown Eyes),151.0
좋은 사람 (feat. 김형중),토이(Toy),151.0
미워요,정인,150.0
친구라도 될 걸 그랬어,거미,148.0
내가 제일 잘 나가,투애니원(2NE1),148.0
편지,김광진,147.0
Roly-Poly,티아라(T-ara),146.0
"봄날, 벚꽃 그리고 너",에피톤 프로젝트(Epitone Project),145.0
뜨거운 안녕 (feat. 성시경),싸이(Psy),145.0
촛불 하나,지오디(god),144.0
With Me,휘성,144.0
천년의 사랑,박완규,144.0
술이야,바이브(Vibe),143.0
"Love (feat. Bumkey, Paloalto)",프라이머리(Primary),143.0
Trouble Maker,트러블메이커(Troublemaker),143.0
I Believe (엽기적인 그녀 O.S.T),신승훈,142.0
가로수 그늘 아래 서면,장재인,142.0
내 눈물모아,서지원,142.0
나만 몰랐던 이야기,아이유(IU),141.0
미친거니,바이브(Vibe),140.0
만약에 말야 (전우성 Solo),노을,140.0
가질 수 없는 너,뱅크(Bank),140.0
결혼까지 생각했어,휘성,140.0
붉은 노을,BIGBANG,140.0
"씨스루 (feat. Zion.T, 개코 Of 다이나믹듀오)",프라이머리(Primary),140.0
아이처럼,김동률,139.0
차마...,성시경,139.0
Rain Drop,아이유(IU),137.0
To Heaven (천국으로 보낸 편지),조성모,137.0
그녀와의 이별,김현정,136.0
커피를 마시고 (Main ver.),어반 자카파(Urban Zakapa),136.0
그런가봐요...,브이원 (V.One),136.0
Nike Shoes (feat. Dynamic Duo),빈지노(Beenzino),136.0
그녀를 사랑해줘요,하동균,135.0
사랑의 時,엠씨 더 맥스(M.C the Max),133.0
추억은 사랑을 닮아,박효신,132.0
남과 여 (feat. 김범수),박선주,132.0
못해 (feat. 美),포맨,131.0
연애 (feat. Hanyi),프리 스타일(Free Style),131.0
늦은 후회,보보(Bobo),131.0
다시 만난 날,휘성,130.0
사랑했나봐,윤도현,130.0
