Title,Artist,cnt
우산 (feat. 윤하),에픽 하이(Epik High),43.0
Rain Drop,아이유(IU),43.0
애상,쿨(COOL),42.0
정,영턱스클럽(YTC),41.0
바람이 분다,이소라,40.0
체념,빅마마(Big Mama),40.0
"너에게 난, 나에게 넌",자전거 탄 풍경,39.0
낙원 (feat. 이재훈),싸이(Psy),39.0
"헤어지지 못하는 여자, 떠나가지 못하는 남자 (feat. 정인)",리쌍(Leessang),38.0
뜨거운 안녕 (feat. 성시경),싸이(Psy),38.0
죽일 놈 (Guilty),다이나믹 듀오(Dynamic Duo),38.0
강남스타일,싸이(Psy),37.0
사랑.. 그 놈,바비 킴(Bobby Kim),36.0
Boogie On & On,빈지노(Beenzino),36.0
Bubble Pop!,현아 [포미닛],35.0
사진을 보다가,바이브(Vibe),35.0
Go Away,투애니원(2NE1),35.0
사랑은 봄비처럼... 이별은 겨울비처럼,임현정,33.0
Second First Date (feat. Ritha K) (Bonus Track From Jazz Set),디제이 아키(DJ AKI),33.0
보고 싶다,김범수,32.0
여름날 (feat. 페퍼톤스 신재평),유희열,31.0
Roly-Poly,티아라(T-ara),31.0
너랑 나,아이유(IU),31.0
좋은 날,아이유(IU),31.0
내게 오는 길 (Bonus Track),성시경,30.0
Aqua Man,빈지노(Beenzino),30.0
비가 오는 날엔,비스트(Beast),30.0
고래의 꿈 (Falling In Love Again) (feat. 김영근 - Bobby'S Father),바비 킴(Bobby Kim),28.0
Diva,애프터 스쿨(After School) ,28.0
Tonight,BIGBANG,28.0
Can't Nobody,투애니원(2NE1),27.0
장마,정인,27.0
3!4!,룰라(Roo'Ra),26.0
Trouble Maker,트러블메이커(Troublemaker),26.0
"씨스루 (feat. 개코, Zion.T)",프라이머리(Primary),26.0
여름 밤 탓,슈가볼(Sugarbowl),26.0
별빛달빛,시크릿(Secret),25.0
왜불러,디바(Diva),23.0
소주 한 잔,임창정,23.0
심장이 없어,에이트(8Eight),23.0
어땠을까 (feat. 박정현),싸이(Psy),23.0
그땐 그땐 그땐,슈프림팀(Supreme Team),23.0
살다가 한번쯤,포맨,23.0
비와 당신 (영화 '라디오 스타 '삽입곡),럼블 피쉬(Rumble Fish),23.0
여전히 아름다운지 (feat. 김연우),토이(Toy),23.0
사랑은 언제나 목마르다,유미,23.0
사랑... 그게 뭔데,양파,23.0
순정(純情) (London Boys의 I'm Gonna Give My Heart 전주 인용),코요태,22.0
With Coffee...,브라운 아이즈(Brown Eyes),22.0
비오는 압구정,브라운 아이즈(Brown Eyes),22.0
Gee,소녀시대,21.0
아이스크림,MC 몽,21.0
꿍따리 샤바라,클론(Clon),21.0
Love Blossom (러브블러썸),케이윌(K.Will),21.0
My Soul,줄라이(July) [뉴에이지],21.0
FANTASTIC BABY,BIGBANG,20.0
오아시스 (feat. 이재훈),브라운 아이드 걸스,20.0
안녕이라고 말하지마,다비치,20.0
자니 (feat. Dynamic Duo),프라이머리(Primary),20.0
미워요,정인,20.0
사랑은 은하수 다방에서,10cm(십센치),20.0
사랑하기 때문에,유재하,20.0
그런 사람 또 없습니다,이승철,20.0
Rain,이적,20.0
밤하늘의 별을.. (With KCM & No Noo),양정승(Kiroy Y),19.0
홀로 (feat. 김나영),정키(Jung Key),19.0
결혼까지 생각했어,휘성,19.0
해변의 여인,쿨(COOL),19.0
사랑한다는 흔한 말,김연우,19.0
Rain,박혜경,19.0
"Love (feat. Bumkey, Paloalto)",프라이머리(Primary),19.0
바람났어 (feat. 박봄),GG(박명수 & G-Dragon),19.0
Officially Missing You,긱스(Geeks),19.0
같이 걸을까,이적,19.0
내가 너의 곁에 잠시 살았다는 걸,김연우,19.0
기억을 걷는 시간,넬(Nell),19.0
Summer Dance,이정현,19.0
"어떤 날도, 어떤 말도",Lucia(심규선),18.0
나만 모르게 (feat. T),슈프림팀(Supreme Team),18.0
그 해 여름,인피니트(Infinite),18.0
가슴 시린 이야기 (feat. 용준형 Of Beast),휘성,18.0
아름다운 밤이야,비스트(Beast),18.0
Rainy Day,러브홀릭(Loveholic),18.0
신나? (우리가 누구?) (feat. Lisa),다이나믹 듀오(Dynamic Duo),18.0
여우야(女雨夜),더 클래식(The Classic),18.0
빗소리,윤하(Younha/ユンナ),18.0
I'm In Love (Piano RMX),라디(Ra.D),18.0
너를 위해,임재범,18.0
압구정 날라리,처진 달팽이(유재석 & 이적),18.0
잔소리 (With 2AM 슬옹),아이유(IU),18.0
Midnight (별 헤는 밤),비스트(Beast),18.0
말 좀 해줘 (feat. Soulman),슈프림팀(Supreme Team),18.0
우리 비 그치면 산책할까?,스웨터(Sweater),18.0
립스틱 (Lipstick),오렌지캬라멜(Orange Caramel),18.0
바람이 불어오는 곳,제이레빗(J Rabbit),18.0
너 사용법,에디킴,18.0
옥상달빛,옥상달빛,17.0
비처럼 음악처럼,김현식,17.0
말해줘 (feat. 엄정화),지누션(Jinusean),17.0
바래진 기억에,박지윤,17.0
STEP,카라(Kara),17.0
Gentleman,싸이(Psy),17.0
I Believe (엽기적인 그녀 O.S.T),신승훈,17.0
안아줘,정준일 [메이트],17.0
거리에서,성시경,17.0
I Don't Care,투애니원(2NE1),17.0
Promise U,바이브(Vibe),17.0
출첵 (feat. 나얼 Of Browneyed Soul),다이나믹 듀오(Dynamic Duo),17.0
안녕 나의 사랑,성시경,17.0
이름 없는 거리 이름 없는 우리,이아립,17.0
365일,알리(Ali),17.0
Festival,엄정화,16.0
망설이지 마요,몽니(Monni),16.0
